ADM0_NAME,ADM1_NAME,ADM2_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,pop_1960,pop_2001
Viet Nam,Binh Thuan,Phan Thiet City,2.969323377,2.798847332,31.55537709,23.69077199,209.4484561,94.50172282,0.966157918,0.759036214,0.980125571,0.900331463,2.982809174,2.714979126,30.96011627,23.06828134,204.7983815,109.0922471,36.74231043,22.34732285,36.30661667,22.8845351,150132.0163,209441.1194
Viet Nam,Binh Thuan,Tanh Linh,1.974171891,2.589742002,29.61937434,21.16960549,213.7821701,158.9816663,0.607060818,0.499041677,0.746250972,0.630602697,2.0147451,2.495988581,29.030561,20.50824667,208.6757876,169.7904528,28.32544571,20.32114791,29.77791117,21.35862921,70314.88698,103300.7846
Viet Nam,Binh Thuan,Tuy Phong,2.592439192,2.599587392,29.14437262,22.05330143,215.5753551,82.36172115,0.691604574,0.703616005,0.745223519,0.751340435,2.548434101,2.528251801,28.56363804,21.39979525,211.878622,91.66785264,30.59721449,20.91313157,31.09348983,21.83925832,97383.7072,140160.8243
Viet Nam,Ca Mau,Ca Mau City,1.980547621,3.018184781,31.08820722,24.88158352,204.9159602,189.2294763,0.97361537,0.818718525,0.992307736,0.948178127,1.924508356,2.900314041,30.53607754,24.15576561,201.347762,187.7916303,29.11870373,23.27251523,29.4745402,24.83748988,178941.6282,218276.4426
Viet Nam,Ca Mau,Tran Van Thoi,2.301449014,3.05801933,31.07884707,24.88136514,205.4353849,190.8674497,0.961876989,0.793188693,0.99225998,0.91168445,2.228137249,2.939628537,30.53237779,24.15326474,202.1664044,192.8849584,28.80073253,23.4244295,28.91070484,23.86868179,141999.1401,185333.075
Viet Nam,Ca Mau,U Minh,2.276275574,3.052157979,31.17502711,24.8960787,205.9584564,188.909941,0.949376887,0.755713482,0.98318328,0.833323815,2.217366107,2.933201574,30.62985001,24.18103916,202.6631489,188.2035289,28.37344409,22.905586,28.34635763,23.32392916,82774.49434,102025.813
Viet Nam,Ca Mau,Dam Doi,2.326163053,3.050700066,31.06774192,24.93004855,205.8844432,185.679958,0.960794395,0.79415505,0.991531864,0.904925443,2.269129053,2.931782322,30.52724953,24.20368097,202.3157063,187.990672,28.73787862,24.04048152,28.44950687,25.34650419,126717.2147,182532.4286
Viet Nam,Ca Mau,Thoi Binh,1.929618671,3.01577125,31.22355524,24.93590659,205.928274,185.4597057,0.969502704,0.793338397,0.990247015,0.877052867,1.880711948,2.897659681,30.67425093,24.22003235,202.3886158,182.9372127,29.16720659,23.82311358,28.79232716,24.98790109,122160.6587,136509.3126
Viet Nam,Da Nang City,Hoa Vang,2.355598295,2.454690083,28.39732074,21.16499492,213.1636366,193.6609125,0.603841055,0.592882028,0.764389103,0.703487971,2.553155101,2.429856389,28.00201172,20.39433653,209.5271424,176.2967415,28.23442353,18.97833319,28.50389482,20.30673818,103219.5843,194765.2797
Viet Nam,Da Nang City,Hai Chau,2.563949488,2.665269437,30.14691496,23.5304465,211.0440548,181.0684037,0.994719184,0.989120094,0.995153648,0.992304883,2.763762138,2.645113665,29.77195226,22.7802544,207.5843314,164.8854927,33.57396729,21.45941344,34.37763308,22.01922553,124510.101,218710.3416
Viet Nam,Da Nang City,Lien Chieu,2.586618307,2.594487387,29.31873586,22.53753834,212.7605408,187.4105926,0.809512839,0.75497051,0.917204962,0.880897114,2.791562649,2.572310592,28.94766735,21.78736097,209.2852235,170.4550316,29.45916382,19.64351502,30.07986743,20.9056181,73416.21408,135648.4496
Viet Nam,Da Nang City,Ngu Hanh Son,2.557212093,2.667843421,30.06717231,23.41339098,212.0228947,177.1733709,0.991395494,0.945263343,0.995134315,0.987811141,2.753119873,2.647820521,29.68595819,22.65668592,208.5199774,161.1100067,31.29276512,21.37763764,32.45536093,21.90410027,36617.02843,65443.59724
Viet Nam,Da Nang City,Son Tra,2.564773253,2.589716794,29.05234036,22.32718337,213.9116147,180.4783316,0.679966794,0.647363235,0.835565665,0.839146381,2.769737284,2.570250905,28.6950019,21.58838412,210.5220926,164.9226073,27.55817349,19.63665578,27.84201286,20.85181632,71900.42051,130291.3829
Viet Nam,Da Nang City,Thanh Khe,2.591942348,2.664234408,30.30609539,23.66318396,210.500891,183.2849843,0.994338248,0.988541126,0.995151707,0.992676531,2.793678606,2.643220024,29.92858951,22.91400266,207.0227476,166.6958762,33.93635064,21.05017522,34.65368153,22.04204279,98793.67988,177174.246
Viet Nam,Dong Nai,Bien Hoa City,2.104111194,2.844411236,32.03487473,23.48300538,208.4188603,175.9564926,0.991386563,0.923490022,0.992334068,0.985025009,2.137272484,2.737671942,31.46388532,22.79624713,203.1279731,176.1190143,32.3720807,22.67011777,35.54883918,23.27287557,424153.6816,723385.9514
Viet Nam,Dong Nai,Long Thanh,2.487857702,2.861467622,31.38368331,23.35985739,210.453167,169.1738494,0.947567685,0.758914106,0.993245446,0.911005814,2.505658599,2.756697303,30.80853249,22.67704459,205.0125873,174.169407,30.43817632,21.83321248,32.19613936,22.55642735,164094.2772,299574.4474
Viet Nam,Dong Nai,Tan Phu,1.617477209,2.657470761,30.34872339,21.52674827,217.1778347,191.9972875,0.587215635,0.444304233,0.75214403,0.619929217,1.67866901,2.559645522,29.76773503,20.85214341,212.1125359,194.6556134,28.80625366,20.53759366,29.56089012,21.61886591,91314.3363,161335.9476
Viet Nam,Dong Nai,Dinh Quan,1.618495299,2.716900909,30.68366746,22.09029213,216.3329193,191.3121107,0.816886753,0.57195765,0.899619943,0.711706399,1.673330496,2.618408648,30.10244901,21.41769279,211.0609812,196.3649629,29.49628357,21.54339948,30.23405025,22.47199247,114244.6484,199166.4343
Viet Nam,Dong Nai,Nhon Trach,2.679038307,2.918766664,31.5755753,23.70644807,210.7778547,148.4112849,0.964554396,0.824764687,0.990565267,0.93931033,2.68625686,2.811091085,31.00693964,23.02071134,205.3400815,151.6849872,29.63173502,23.12206274,30.91862586,23.39382843,84249.47199,168793.9272
Viet Nam,Dong Nai,Vinh Cuu,1.648229089,2.748215879,30.89033756,22.09699969,216.5175114,193.4863736,0.680637278,0.418838427,0.798629831,0.586437939,1.705109709,2.646487075,30.31387295,21.41912558,211.3521465,194.9411411,28.11230124,21.33635762,29.09815622,22.32677348,73382.32659,130047.1629
Viet Nam,Dong Thap,Cao Lanh,1.461637245,2.931018383,32.01385579,24.57847104,210.8924654,119.0966734,0.94827196,0.745246466,0.985191029,0.884137067,1.508504614,2.822042641,31.46643536,23.88355221,206.7362404,117.2705046,28.07300971,24.03001191,28.80709913,23.55837546,158400.2104,202010.6985
Viet Nam,Dong Thap,Chau Thanh,1.491115692,2.945687381,31.89836134,24.75465986,209.1434042,118.3348284,0.959878963,0.779848752,0.987225819,0.933009009,1.522850495,2.837060039,31.35222506,24.05696019,204.6950527,116.8060243,28.36467128,23.82345716,29.26377854,23.39605225,118367.8256,149469.6618
