ADM0_NAME,pop_2001,pop_1960,pr_2001,tmax_2001,tmin_2001,srad_2001,vap_2001,vs_2001,pr_1960,tmax_1960,tmin_1960,srad_1960,vap_1960,vs_1960,LSTday_2001,LSTnight_2001,LSTday_1960,LSTnight_1960,ab_1960,ag_1960,ab_2001,ag_2001
Brunei Darussalam,2262.047723,1011.998141,337.0983931,30.58227649,23.85577875,200.2895116,2.82156182,1.479746118,310.1450813,30.10160754,23.42957621,205.4303342,2.768959281,1.447448011,27.7538344,21.87026672,27.84496127,21.1032705,0.503359019,0.21532767,0.580303581,0.247712636
Brunei Darussalam,763.0483447,675.5951383,357.2871769,31.12226609,24.58648302,204.9732192,2.981340011,1.94051489,329.1626598,30.63206416,24.17511786,209.2146991,2.930837242,1.906166034,28.27350741,22.76438419,28.02739119,22.4432611,0.793700592,0.430987325,0.821387925,0.414200476
Brunei Darussalam,8888.654072,6066.20376,319.0127258,31.08719998,24.45780102,200.7964665,3.009491682,2.006018789,295.1229632,30.64027572,24.0541983,205.8238289,2.957655638,1.991236325,28.81553048,22.71969621,28.87734196,22.82313687,0.871274691,0.515045386,0.927320527,0.558767936
Brunei Darussalam,4264.288077,3035.269683,323.4109218,31.08880199,24.4116615,199.9419628,2.985817419,1.798631637,298.9668447,30.63437262,23.99421757,205.1973888,2.932950176,1.783543978,29.25833128,22.51183351,28.79966632,22.71555246,0.855123988,0.475543391,0.921492063,0.498564567
Brunei Darussalam,3231.82492,2309.962806,321.8436107,31.05711947,24.32298154,199.2477682,2.959945357,1.661735175,297.1734821,30.60079241,23.89269525,204.806451,2.905614816,1.645599721,28.64298178,22.35892074,28.41571039,22.42220629,0.795813406,0.351359397,0.854205129,0.35135934
Brunei Darussalam,11893.35658,8256.07467,311.7182582,31.18331717,24.51032392,200.0387398,3.032296599,2.080080453,288.6358138,30.73568221,24.1006963,205.2835868,2.979082261,2.065553682,29.37071446,23.03680356,29.26708806,23.24560451,0.90012201,0.63629847,0.924235028,0.641531237
Brunei Darussalam,1133.656916,962.7934532,321.2059549,30.91891347,24.09602129,197.6444953,2.889537717,1.393562333,296.0406939,30.45788272,23.65603021,203.6136489,2.833728419,1.373429175,27.84905556,22.46852814,27.69786815,21.90564013,0.617556901,0.219129393,0.702066503,0.2275951
Brunei Darussalam,3519.841725,3013.551303,310.7564612,31.17989626,24.45159739,198.5313517,3.020067217,1.978069816,287.6513642,30.72787619,24.02848001,204.0151674,2.965669072,1.962131773,29.35611749,22.62234812,28.98054715,22.88319212,0.85742026,0.50504281,0.897986028,0.485235142
Brunei Darussalam,7623.090811,5436.928557,296.0266114,31.17178797,24.38545184,197.8202387,3.030381977,2.104157372,274.3850059,30.72254539,23.95422313,203.5894528,2.974322782,2.086583528,29.42093105,23.0954211,29.09338686,23.16416325,0.896817352,0.606685662,0.933844904,0.636181589
Brunei Darussalam,1439.366681,846.3222398,302.3875275,31.0871057,24.26398168,197.5074649,2.976771084,1.740748686,279.6842656,30.63238042,23.82361666,203.4428284,2.920341433,1.722449943,28.45663013,22.44855884,28.28822649,22.55361242,0.820959299,0.338295255,0.842821578,0.313805266
Lao People's Democratic Republic,28008.01458,21089.3314,196.1172121,28.84888078,18.32065955,201.4324603,2.090731995,1.635715084,190.5253341,28.29510545,17.69104297,195.1028713,2.060103443,1.491344097,25.22804931,18.93332826,25.22127585,18.4932886,0.233065154,0.233316326,0.254879729,0.238057016
Lao People's Democratic Republic,33285.31441,21590.77153,163.1232595,27.48813046,16.69631983,197.9786855,1.85582193,1.739683546,157.2226749,26.9198321,16.05127305,191.4981839,1.841367709,1.576524774,23.879832,16.92335546,24.06503606,16.33018168,0.235877542,0.243351542,0.173324007,0.206496136
Lao People's Democratic Republic,11336.53092,7254.660537,219.7518002,29.88847131,19.9714821,229.4102633,2.431113783,1.75769263,220.4479367,29.31451937,19.13804252,223.2552171,2.362870422,1.805756087,26.35403397,20.1904964,26.07818632,19.37567888,0.220091509,0.204965223,0.250521661,0.212079755
Lao People's Democratic Republic,33098.91744,19831.18284,213.0553333,32.03144424,22.60194526,231.58063,2.621192138,1.66773691,214.1324879,31.45234839,21.75966556,224.9557046,2.558586402,1.702750024,30.7123204,22.26485424,29.81327067,21.1870596,0.755410115,0.378679215,0.890807641,0.524690735
Lao People's Democratic Republic,30621.7365,13183.28856,207.2696326,31.24551747,21.73121957,234.0137319,2.586887303,1.69034619,209.5642382,30.6656541,20.93650477,226.8564568,2.521240521,1.716280244,28.44392609,21.71665979,27.82254178,20.75510301,0.418474393,0.240936656,0.573882811,0.33019449
Lao People's Democratic Republic,14376.39174,12065.60902,214.689754,28.72076312,19.02473492,226.1480275,2.315196719,1.73473018,210.5944942,28.16442824,18.19522595,220.4828345,2.254516985,1.790786105,25.75290274,19.45647697,25.69617903,18.70690745,0.196230621,0.230401732,0.223988586,0.235387856
Lao People's Democratic Republic,41269.84233,22860.38454,203.4848798,31.9256274,22.54324485,230.3784119,2.618325127,1.635774146,202.2805026,31.34953543,21.69696281,224.135104,2.55361363,1.678057569,30.51851721,22.14269277,29.7124214,21.20127392,0.602173049,0.338034406,0.763660809,0.419182781
Lao People's Democratic Republic,64416.43402,45858.49332,141.8242489,30.54450419,18.60250166,205.9398267,2.195269748,1.366067917,141.2685453,30.00937195,17.72783373,200.6392309,2.168870861,1.005191346,25.6674293,19.0641003,25.48091723,18.50665079,0.173491058,0.198532658,0.252353276,0.214570077
Lao People's Democratic Republic,10507.47883,9798.436469,143.1461967,29.73249758,17.77698431,204.5291131,2.117060263,1.377325517,143.4777903,29.18054896,16.90403335,199.4402356,2.079101898,1.031171684,24.11352389,18.60585243,24.0504981,18.2082749,0.122941837,0.145185225,0.128071261,0.156956517
Lao People's Democratic Republic,18704.98673,15076.02702,125.6069951,30.59946474,18.64478084,206.4525139,2.188217043,1.391886563,124.5387065,30.10299789,17.81082713,201.3602627,2.152979951,1.022886859,25.05867405,19.29749829,24.72650106,18.43044457,0.184043417,0.22341864,0.285396607,0.232902374
Lao People's Democratic Republic,43016.3379,25426.18765,131.3461737,30.32250424,18.38415904,204.3088666,2.160961233,1.436828028,128.8515173,29.78761044,17.52285274,198.4349286,2.148032945,1.069868919,25.00135156,18.73060852,24.79854569,17.91977259,0.138453239,0.165700438,0.20631563,0.206458461
Lao People's Democratic Republic,31375.07538,22394.76279,142.6860707,30.45021945,18.52092598,207.191055,2.177986566,1.316685555,143.5704173,29.93776694,17.65050007,202.7997836,2.132610718,0.96393548,25.42366794,19.24028462,24.80517934,18.82311179,0.241299714,0.229501053,0.307883697,0.228040856
Lao People's Democratic Republic,49266.54429,26832.09062,236.7774551,29.44154496,19.41247265,204.6250702,2.285366307,1.464671754,231.5659063,28.90281062,18.79420264,197.7780109,2.257339868,1.391647879,26.55449322,19.67767143,26.34726521,18.95359704,0.209066429,0.207349358,0.383704131,0.250326651
Lao People's Democratic Republic,77740.74838,55637.38545,171.7686501,27.02547417,17.63333674,204.2977711,2.041056077,1.539681587,169.9748454,26.57446754,17.01725046,197.7196757,2.025796949,1.58766248,24.5112976,17.53391033,24.41871263,16.19089459,0.28799583,0.31162895,0.266831346,0.310197885
Lao People's Democratic Republic,54117.13363,38858.36433,224.7786815,29.44734535,19.57324687,209.6222556,2.307022723,1.477687061,223.8473717,28.93340625,18.96025223,202.7750309,2.279713027,1.394651079,27.16550626,20.09563372,26.71391347,19.35160499,0.29620705,0.244377431,0.48302938,0.321183784
Lao People's Democratic Republic,49496.69076,31714.71686,252.3358091,30.44431844,20.45644731,208.0214797,2.433898758,1.451814858,249.8173026,29.88235969,19.8250703,201.2382676,2.401575925,1.329979028,29.3171942,20.7478217,28.72005336,19.98174213,0.574355343,0.350821754,0.792050463,0.469259815
Lao People's Democratic Republic,27978.35883,10025.70767,206.2896919,29.9360749,19.605286,204.8694125,2.288730848,1.549119615,202.7094062,29.37664544,18.96880468,198.7881998,2.252593529,1.364537873,26.91226883,19.88825049,26.8176377,19.21156518,0.31574705,0.251959483,0.373527514,0.269331751
Lao People's Democratic Republic,28618.47686,16053.16774,173.4793738,27.4525486,17.83851676,202.0083627,2.053219071,1.522839614,170.8915798,26.95682234,17.22247256,195.3301081,2.036535422,1.546453793,24.38131176,17.84251364,24.49205589,16.97938633,0.25225754,0.280840366,0.221381382,0.250312681
Lao People's Democratic Republic,60016.03444,41830.67069,175.1764673,30.79885422,21.10983894,233.6220322,2.468711946,1.689634206,176.8640885,30.24723424,20.36244066,226.3008958,2.41031982,1.686937021,29.79192261,20.70416325,28.40767617,19.20570307,0.458249937,0.295303709,0.683945147,0.41264338
Lao People's Democratic Republic,56414.39515,35677.83965,187.222006,31.97387267,22.42221259,235.5632209,2.614544342,1.67627442,186.6013229,31.41016587,21.70122596,227.9174504,2.542504551,1.677156,30.86929261,22.51987166,30.05220843,21.66391407,0.72661539,0.389410317,0.80189686,0.478184013
Lao People's Democratic Republic,80599.4926,62277.38167,170.6322554,32.24971461,23.10632612,236.3389287,2.691621483,1.662474403,171.6551892,31.65304666,22.3516013,229.0781452,2.611774425,1.693359121,30.60262374,22.91127808,29.24939718,22.1414112,0.800159129,0.391538871,0.885068584,0.47922474
Lao People's Democratic Republic,38181.09835,36174.18579,166.6081254,31.86394446,22.58815512,238.1650619,2.676514557,1.647841261,166.6176078,31.27828628,21.8727648,230.7112499,2.594965345,1.662180687,29.76049263,22.07395001,28.78201903,21.3094458,0.679827785,0.311698943,0.775504757,0.391003289
Lao People's Democratic Republic,88788.45878,69062.14297,179.3095858,32.28340979,22.63888179,234.9657244,2.61019071,1.64552761,179.833471,31.72752602,21.91506117,227.4238504,2.545633048,1.637567605,31.27560961,22.87854007,30.80019308,21.74672835,0.82334526,0.482862601,0.879437059,0.66976388
Lao People's Democratic Republic,79965.97579,63308.92464,210.1595983,27.54054764,17.55002722,226.6217963,2.089422015,1.920759328,212.3953663,26.9775908,16.7520082,219.6185203,2.040765727,1.940805043,25.88145629,16.79403444,25.40992425,16.11430141,0.213332158,0.273965186,0.21682188,0.264193953
Lao People's Democratic Republic,63788.68884,46232.19645,207.5943112,31.37363566,21.87783627,236.2002415,2.606046763,1.668495003,208.4905564,30.79530721,21.12190099,228.7581541,2.536159215,1.686521037,28.09830353,21.75831933,27.41620092,20.76302209,0.340281133,0.232869051,0.48952117,0.315502291
Lao People's Democratic Republic,86777.53393,58338.12291,175.3563527,32.31383571,22.68537424,234.8959399,2.608016224,1.675427235,176.2194371,31.75402112,21.97448027,227.2103179,2.541121075,1.660284175,32.65333619,22.71614859,32.00360569,21.90413737,0.854517505,0.457658303,0.905331408,0.54414921
Lao People's Democratic Republic,66290.43494,58380.30051,168.0458601,31.99860756,22.35250268,234.9105427,2.574022756,1.640557562,169.5216778,31.44690828,21.62732015,227.4850785,2.513556457,1.61970547,30.71911163,22.48683358,29.97847771,21.1975963,0.659822099,0.377737499,0.787789919,0.478152734
