ADM0_NAME,ADM1_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,ADM0_NAME.y,pop_1960,pop_2001
Viet Nam,Nam Dinh,1.983763784,2.525864604,27.45869107,21.15663547,183.5292521,141.507669,0.959388502,0.884053317,0.982019987,0.939293448,2.153989903,2.529911188,27.10387453,20.5118559,175.1620102,138.9474704,27.61935797,19.95206501,27.56502466,20.73508756,Viet Nam,1806349.457,1791613.689
Viet Nam,Nghe An,1.767562642,2.378115983,27.7719315,20.25778737,193.1496174,126.2526495,0.798153713,0.794445928,0.812651737,0.787486143,1.920884812,2.379921109,27.34498366,19.64041259,187.0447737,121.2507549,29.18657056,18.84261186,28.64463175,19.98904429,Viet Nam,2664979.488,2902585.633
Viet Nam,Ninh Binh,1.833453459,2.503479057,27.53875298,20.91718046,183.5456757,150.1022011,0.920003049,0.858285434,0.964638215,0.918903371,1.986667194,2.507689774,27.15728759,20.23945329,175.5092639,146.8675121,28.39401392,19.62722308,28.41801977,20.70674775,Viet Nam,833697.3361,897058.6491
Viet Nam,Ninh Thuan,2.489296061,2.60853266,29.54493203,22.55380403,215.252513,83.12037583,0.735073554,0.723860694,0.795828122,0.793423802,2.484246726,2.551172219,28.96958507,21.86114026,212.2985357,89.05070376,31.09814838,21.10054713,31.63863315,22.0767085,Viet Nam,405526.5299,567667.1169
Viet Nam,Phu Tho,1.473732439,2.420602505,27.4262999,19.84061474,175.5714778,139.0092777,0.843827466,0.765756104,0.916167773,0.823955366,1.420575618,2.422778816,27.00584942,19.11814181,167.1284407,138.2982922,27.80757305,19.28361927,27.31137449,19.68084059,Viet Nam,5596357.174,1272467.614
Viet Nam,Phu Yen,2.533045756,2.671148681,29.76209239,22.54181924,216.3282567,121.0561535,0.760903302,0.687816912,0.856307734,0.785911062,2.569925185,2.611504,29.2688356,21.81607777,214.1654621,116.6011959,29.69202007,20.35418937,30.32633758,21.41380587,Viet Nam,635670.5752,864549.9109
Viet Nam,Quang Binh,1.980122173,2.364686667,27.92999564,21.02201853,206.8605704,205.8918172,0.627476106,0.62258543,0.736450734,0.680391773,2.214027568,2.359098112,27.54625963,20.36576744,202.6297536,190.9586548,28.77117859,19.26756325,28.5035132,20.73201029,Viet Nam,680481.2553,844242.3184
Viet Nam,Quang Nam,2.039838353,2.492309518,28.87709647,21.14887389,215.6183546,186.8523597,0.616417014,0.571139405,0.704593043,0.64094813,2.182014301,2.458949886,28.44345268,20.36235131,211.6998949,170.749414,28.76262994,19.26301412,28.75709904,20.24744567,Viet Nam,1222826.697,1416802.51
Viet Nam,Quang Ngai,2.31352749,2.635385355,29.65062914,21.93061715,217.3122243,170.9169591,0.736678488,0.686252325,0.814862073,0.758939053,2.351919678,2.591756189,29.2096107,21.17081953,213.8505864,156.7635866,29.87894774,20.28161821,29.70213475,21.21429104,Viet Nam,1053393.485,1202861.012
Viet Nam,Quang Ninh,2.471588147,2.356690437,26.17047408,19.61422348,186.2504903,169.5704854,0.839930288,0.750813624,0.924672898,0.824959217,2.59137071,2.36139981,25.89396764,19.15193157,176.7754824,166.901185,26.52778501,18.67453684,26.2464111,19.18790215,Viet Nam,853079.9545,1075793.339
Viet Nam,Quang Tri,2.102923109,2.444985958,28.73768789,21.69497191,212.85984,203.8482454,0.79945513,0.736641349,0.869188949,0.789261286,2.289672654,2.426115516,28.32703793,20.94852186,208.8198453,186.5616668,29.92977405,20.14995963,29.89527353,21.30526957,Viet Nam,508353.9223,601089.6212
Viet Nam,Soc Trang,2.107463563,3.003725101,31.43885599,25.02107508,206.1667658,143.0345957,0.974419861,0.817447463,0.991513387,0.935575658,2.115716752,2.884535837,30.88871893,24.31665974,201.707845,144.8679027,29.58479734,23.0837069,29.70678805,23.50616259,Viet Nam,936339.8682,1303893.689
Viet Nam,Son La,1.752692993,1.991528848,25.90912445,17.0880695,181.8384327,127.0263447,0.613543862,0.59290439,0.56962829,0.576357672,1.600060925,1.996578428,25.42631974,16.24817653,173.2487492,125.7774121,25.5853383,16.95216242,25.84344238,17.59399639,Viet Nam,704906.2708,1115278.86
Viet Nam,Tay Ninh,1.56132672,2.833051758,32.21328002,23.39200454,215.6750122,162.7342019,0.957712751,0.733510179,0.978470257,0.854723435,1.62207573,2.725839886,31.62919864,22.69914949,210.8713333,160.639133,30.60975436,22.18228837,31.40580608,22.99252621,Viet Nam,801992.3078,1077224.837
